#t;y
2017-09-02_05:50:01	104.7
2017-09-02_05:55:01	104.2
2017-09-02_06:00:01	104.5
2017-09-02_06:05:01	104.7
2017-09-02_06:10:01	104.5
2017-09-02_06:15:01	104
2017-09-02_06:20:01	104.1
2017-09-02_06:25:01	104.3
2017-09-02_06:30:01	103.5
2017-09-02_06:35:01	102.2
2017-09-02_06:40:01	102.5
2017-09-02_06:45:01	103
2017-09-02_06:50:01	103.8
2017-09-02_06:55:01	104.8
2017-09-02_07:00:01	107
2017-09-02_07:05:01	109
2017-09-02_07:10:01	107.5
2017-09-02_07:15:01	106.2
2017-09-02_07:20:01	106.2
2017-09-02_07:25:01	106
2017-09-02_07:30:01	107.3
2017-09-02_07:35:01	107.4
2017-09-02_07:40:01	107.3
2017-09-02_07:45:01	110.7
2017-09-02_07:50:01	111.3
2017-09-02_07:55:01	111.2
2017-09-02_08:00:01	110.5
2017-09-02_08:05:02	109.5
2017-09-02_08:10:01	108.5
2017-09-02_08:15:01	109.1
2017-09-02_08:20:01	109.5
2017-09-02_08:25:01	110.3
2017-09-02_08:30:01	110
2017-09-02_08:35:02	109.5
2017-09-02_08:40:01	110.1
2017-09-02_08:45:01	110.2
2017-09-02_08:50:01	109
2017-09-02_08:55:01	108.7
2017-09-02_09:00:02	108
2017-09-02_09:05:02	107.8
2017-09-02_09:10:01	107.4
2017-09-02_09:15:01	107.5
2017-09-02_09:20:01	107.3
2017-09-02_09:25:01	107.7
2017-09-02_09:30:02	107.5
2017-09-02_09:35:01	107.8
2017-09-02_09:40:01	107.4
2017-09-02_09:45:01	107.3
2017-09-02_09:50:01	107.6
2017-09-02_09:55:01	107.5
2017-09-02_10:00:02	107.5
2017-09-02_10:05:01	107.4
2017-09-02_10:10:01	107.6
2017-09-02_10:15:01	107.4
2017-09-02_10:20:01	107
2017-09-02_10:25:01	106.9
2017-09-02_10:30:02	106.9
2017-09-02_10:35:01	106.6
2017-09-02_10:40:01	105.1
2017-09-02_10:45:01	103.8
2017-09-02_10:50:01	103.2
2017-09-02_10:55:02	103.1
2017-09-02_11:00:02	103.9
2017-09-02_11:05:01	103.5
2017-09-02_11:10:01	102.5
2017-09-02_11:15:01	101.9
2017-09-02_11:20:01	102
2017-09-02_11:25:02	102.5
2017-09-02_11:30:01	102.4
2017-09-02_11:35:01	102.7
2017-09-02_11:40:01	102.3
2017-09-02_11:45:01	102.6
2017-09-02_11:50:01	102.1
2017-09-02_11:55:02	103
2017-09-02_12:00:01	103.7
2017-09-02_12:05:01	103.8
2017-09-02_12:10:01	103.5
2017-09-02_12:15:01	102.5
2017-09-02_12:20:01	102
2017-09-02_12:25:02	101.9
2017-09-02_12:30:01	102.1
2017-09-02_12:35:01	102.2
2017-09-02_12:40:01	102.5
2017-09-02_12:45:01	101.7
2017-09-02_12:50:01	101
2017-09-02_12:55:02	100.1
2017-09-02_13:00:01	98.6
2017-09-02_13:05:01	98.3
2017-09-02_13:10:01	100.2
2017-09-02_13:15:01	102.4
2017-09-02_13:20:02	101.7
2017-09-02_13:25:02	100.3
2017-09-02_13:30:01	98.7
2017-09-02_13:35:01	97.4
2017-09-02_13:40:01	96.7
2017-09-02_13:45:01	96.6
2017-09-02_13:50:02	96.5
2017-09-02_13:55:01	96.4
2017-09-02_14:00:01	97.8
2017-09-02_14:05:01	98.7
2017-09-02_14:10:01	100
2017-09-02_14:15:02	103
2017-09-02_14:20:02	104.1
2017-09-02_14:25:01	104
2017-09-02_14:30:01	102.1
2017-09-02_14:35:01	100.5
2017-09-02_14:40:01	99.2
2017-09-02_14:45:01	98.3
2017-09-02_14:50:02	97.6
2017-09-02_14:55:01	97.4
2017-09-02_15:00:01	97.6
2017-09-02_15:05:01	97.5
2017-09-02_15:10:01	97.3
2017-09-02_15:15:01	96.8
2017-09-02_15:20:02	98.6
2017-09-02_15:25:01	103.2
2017-09-02_15:30:01	104.3
2017-09-02_15:35:01	102.9
2017-09-02_15:40:01	99.8
2017-09-02_15:45:02	98.6
2017-09-02_15:50:01	98.2
2017-09-02_15:55:01	98.3
2017-09-02_16:00:01	98.1
2017-09-02_16:05:01	98.1
2017-09-02_16:10:01	98.1
2017-09-02_16:15:02	97.9
2017-09-02_16:20:01	97.9
2017-09-02_16:25:01	98
2017-09-02_16:30:01	98
2017-09-02_16:35:01	98.3
2017-09-02_16:40:01	98.4
2017-09-02_16:45:02	98.5
2017-09-02_16:50:01	98.6
2017-09-02_16:55:01	98.7
2017-09-02_17:00:01	97.8
2017-09-02_17:05:01	96.8
2017-09-02_17:10:02	96.5
2017-09-02_17:15:01	96.8
2017-09-02_17:20:01	97.2
2017-09-02_17:25:01	98
2017-09-02_17:30:01	98.9
2017-09-02_17:35:01	100.9
2017-09-02_17:40:02	102.6
2017-09-02_17:45:01	102.7
2017-09-02_17:50:01	102.2
2017-09-02_17:55:01	100.4
2017-09-02_18:00:01	99.4
2017-09-02_18:05:01	98.3
2017-09-02_18:10:02	98.1
