#t;y
2017-09-02_14:50:02	489
2017-09-02_14:55:01	488
2017-09-02_15:00:01	487
2017-09-02_15:05:01	484
2017-09-02_15:10:01	485
2017-09-02_15:15:01	487
2017-09-02_15:20:02	492
2017-09-02_15:25:01	496
2017-09-02_15:30:01	499
2017-09-02_15:35:01	497
2017-09-02_15:40:01	492
2017-09-02_15:45:02	488
2017-09-02_15:50:01	486
2017-09-02_15:55:01	481
2017-09-02_16:00:01	479
2017-09-02_16:05:01	478
2017-09-02_16:10:01	478
2017-09-02_16:15:02	477
2017-09-02_16:20:01	477
2017-09-02_16:25:01	477
2017-09-02_16:30:01	476
2017-09-02_16:35:01	477
2017-09-02_16:40:01	478
2017-09-02_16:45:02	478
2017-09-02_16:50:01	478
2017-09-02_16:55:01	478
2017-09-02_17:00:01	476
2017-09-02_17:05:01	475
2017-09-02_17:10:02	479
2017-09-02_17:15:01	484
2017-09-02_17:20:01	488
2017-09-02_17:25:01	491
2017-09-02_17:30:01	492
2017-09-02_17:35:01	495
2017-09-02_17:40:02	496
2017-09-02_17:45:01	496
2017-09-02_17:50:01	496
2017-09-02_17:55:01	494
2017-09-02_18:00:01	491
2017-09-02_18:05:01	488
2017-09-02_18:10:02	485
2017-09-02_18:15:01	488
2017-09-02_18:20:01	495
2017-09-02_18:25:01	498
2017-09-02_18:30:01	497
2017-09-02_18:35:02	497
2017-09-02_18:40:02	495
2017-09-02_18:45:01	490
2017-09-02_18:50:01	491
2017-09-02_18:55:01	493
2017-09-02_19:00:01	495
2017-09-02_19:05:02	494
2017-09-02_19:10:02	494
2017-09-02_19:15:01	493
2017-09-02_19:20:01	494
2017-09-02_19:25:01	494
2017-09-02_19:30:01	494
2017-09-02_19:35:02	495
2017-09-02_19:40:01	500
2017-09-02_19:45:01	500
2017-09-02_19:50:01	500
2017-09-02_19:55:01	500
2017-09-02_20:00:02	501
2017-09-02_20:05:02	500
2017-09-02_20:10:01	501
2017-09-02_20:15:01	500
2017-09-02_20:20:01	500
2017-09-02_20:25:01	500
2017-09-02_20:30:02	495
2017-09-02_20:35:02	496
2017-09-02_20:40:01	495
2017-09-02_20:45:01	496
2017-09-02_20:50:01	500
2017-09-02_20:55:01	501
2017-09-02_21:00:02	501
2017-09-02_21:05:02	499
2017-09-02_21:10:01	499
2017-09-02_21:15:01	500
2017-09-02_21:20:01	498
2017-09-02_21:25:01	498
2017-09-02_21:30:02	497
2017-09-02_21:35:02	495
2017-09-02_21:40:01	494
2017-09-02_21:45:01	494
2017-09-02_21:50:01	496
2017-09-02_21:55:02	498
2017-09-02_22:00:02	500
2017-09-02_22:05:02	501
2017-09-02_22:10:01	502
2017-09-02_22:15:01	501
2017-09-02_22:20:01	500
2017-09-02_22:25:02	500
2017-09-02_22:30:01	500
2017-09-02_22:35:01	499
2017-09-02_22:40:01	499
2017-09-02_22:45:01	498
2017-09-02_22:50:01	498
2017-09-02_22:55:02	497
2017-09-02_23:00:01	495
2017-09-02_23:05:01	491
2017-09-02_23:10:01	487
2017-09-02_23:15:01	484
2017-09-02_23:20:01	485
2017-09-02_23:25:01	494
2017-09-02_23:30:01	501
2017-09-02_23:35:01	502
2017-09-02_23:40:01	503
2017-09-02_23:45:01	499
2017-09-02_23:50:01	497
2017-09-02_23:55:01	496
